model,avg_latency_sec,throughput_utt_per_sec,avg_rtf,wer
Baseline,1.550880863664036,0.6447948539628301,0.27968392180636104,0.0575737979306147
INT8,1.3849024069846356,0.722072540965043,0.25624900422040986,0.0596469872185027
Distilled,3.3277809848854956,0.3005005451205824,0.6184662216539927,0.0501749847839318
